sha16	type	stage	note
416883816e2aaf98	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
41b9446d41378196	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
41c9f877d2f71cbd	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
41fed6ca781cae99	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
42aaa222a3cc67c8	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
42b8b63997fe6eaf	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
42cb2b05acea790f	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
43621abcf294ca96	pptx	open	pptx: not a valid PowerPoint file
43b7199901fb8787	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
43bf5011780b15eb	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
43f5b63405896c73	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
447515a590832511	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
44e5b48a39be01dd	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
452abdd2a10ae16b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4577f9abcc25c186	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
45fddddfd40e8b19	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
460084d9499dc901	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
46028843a1c7189c	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
46611d9c7a2a76e8	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
466e1ba5c0e2fe5d	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
4998e3152f58e2f0	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
4a03a7b1cdc5218d	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
4a869fb959ec45c6	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4be182cc77609829	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4c43182bde7eb64a	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4cf61117036c4dbf	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4d10510c1e83405a	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4d9b579bf19761e8	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
4decea2fe67bdba3	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideMasters/slideMasterN.xml)
4e1b6ca37c5c31cc	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
4e408bffe0c13625	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4f43c55be4e56871	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
4f48bdcddda56582	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
